Price Description,Forward Price,Profit Margin (%)
5th percentile,171.27,-32.76
25th percentile,212.64,-6.93
45th percentile,239.81,5.18
50th percentile,246.62,7.8
65th percentile,268.72,15.38
75th percentile,286.41,20.61
95th percentile,354.5,35.86
Close Price,212.69,-6.91
