Price Description,Forward Price,Profit Margin (%)
5th percentile,31.51,-28.5
25th percentile,39.74,-1.89
45th percentile,45.33,10.68
50th percentile,46.72,13.33
65th percentile,51.18,20.89
75th percentile,54.9,26.25
95th percentile,69.31,41.58
Close Price,37.22,-8.79
