Price Description,Forward Price,Profit Margin (%)
5th percentile,416.24,-68.25
25th percentile,598.93,-16.93
45th percentile,736.77,4.95
50th percentile,772.18,9.31
65th percentile,892.71,21.55
75th percentile,995.75,29.67
95th percentile,1432.58,51.11
Close Price,709.08,1.24
