Price Description,Forward Price,Profit Margin (%)
5th percentile,132.27,
25th percentile,146.12,
45th percentile,154.63,
50th percentile,156.68,
65th percentile,163.01,
75th percentile,167.93,
95th percentile,185.78,
Close Price,150.12,
