Price Description,Forward Price,Profit Margin (%)
5th percentile,18.24,-5.87
25th percentile,19.37,0.31
45th percentile,20.03,3.59
50th percentile,20.18,4.31
65th percentile,20.66,6.53
75th percentile,21.02,8.14
95th percentile,22.31,13.45
Close Price,19.8,2.47
