Price Description,Forward Price,Profit Margin (%)
5th percentile,109.3,-53.92
25th percentile,127.84,-31.6
45th percentile,139.84,-20.31
50th percentile,142.66,-17.93
65th percentile,151.71,-10.9
75th percentile,158.98,-5.82
95th percentile,185.91,9.5
Close Price,145.6,-15.55
