Price Description,Forward Price,Profit Margin (%)
5th percentile,106.29,-117.25
25th percentile,178.46,-29.39
45th percentile,239.05,3.41
50th percentile,255.89,9.76
65th percentile,313.78,26.41
75th percentile,365.7,36.86
95th percentile,612.27,62.29
