Price Description,Forward Price,Profit Margin (%)
5th percentile,125.96,-34.44
25th percentile,177.01,4.33
45th percentile,214.56,21.08
50th percentile,224.47,24.56
65th percentile,257.01,34.11
75th percentile,284.66,40.51
95th percentile,401.15,57.79
Close Price,180.0,5.92
