Price Description,Forward Price,Profit Margin (%)
5th percentile,340.49,1.12
25th percentile,360.35,6.57
45th percentile,372.18,9.54
50th percentile,374.85,10.18
65th percentile,383.34,12.17
75th percentile,389.93,13.65
95th percentile,413.05,18.49
Close Price,361.82,6.95
