Price Description,Forward Price,Profit Margin (%)
5th percentile,13.93,-9.83
25th percentile,15.67,2.36
45th percentile,16.76,8.71
50th percentile,17.02,10.11
65th percentile,17.84,14.24
75th percentile,18.49,17.25
95th percentile,20.81,26.48
Close Price,17.11,10.58
