Price Description,Forward Price,Profit Margin (%)
5th percentile,107.94,-28.34
25th percentile,122.42,-13.16
45th percentile,131.49,-5.35
50th percentile,133.69,-3.62
65th percentile,140.54,1.43
75th percentile,145.79,4.98
95th percentile,165.48,16.29
Close Price,130.3,-6.32
