Price Description,Forward Price,Profit Margin (%)
5th percentile,3.7,-182.97
25th percentile,5.58,-87.63
45th percentile,7.05,-48.51
50th percentile,7.44,-40.73
65th percentile,8.76,-19.52
75th percentile,9.93,-5.44
95th percentile,15.0,30.2
Close Price,11.88,11.87
