Price Description,Forward Price,Profit Margin (%)
5th percentile,209.19,-54.76
25th percentile,243.44,-32.99
45th percentile,265.61,-21.89
50th percentile,270.85,-19.53
65th percentile,287.78,-12.5
75th percentile,301.1,-7.52
95th percentile,351.45,7.88
Close Price,322.05,-0.53
