P/E,EPS,Debt-to-Equity,Dividend,Total Volume,Avg Volume,Symbol
25.8,1.62,96.33,0.0,1204418,1886547,DAR
13.53,10.49,46.28,3.2,490928,378450,INGR
20.65,27.96,61.45,13.0,501362,477534,MC.PA
24.7,5.35,0.0,2.68,1159955,1879790,YUM
20.89,2.27,33.38,0.64,1404933,3501684,YUMC
