Price Description,Forward Price,Profit Margin (%)
5th percentile,556.43,9.86
25th percentile,642.55,21.94
45th percentile,696.93,28.03
50th percentile,710.32,29.39
65th percentile,751.09,33.22
75th percentile,783.92,36.02
95th percentile,905.6,44.62
Close Price,574.92,12.76
