Price Description,Forward Price,Profit Margin (%)
5th percentile,151.79,100.0
25th percentile,170.14,100.0
45th percentile,181.57,100.0
50th percentile,184.28,100.0
65th percentile,192.93,100.0
75th percentile,199.63,100.0
95th percentile,224.08,100.0
