Price Description,Forward Price,Profit Margin (%)
5th percentile,87.45,26.42
25th percentile,166.04,61.24
45th percentile,237.57,72.91
50th percentile,258.12,75.07
65th percentile,332.25,80.63
75th percentile,402.38,84.01
95th percentile,764.24,91.58
Close Price,83.42,22.86
