Price Description,Forward Price,Profit Margin (%)
5th percentile,41.53,0.89
25th percentile,46.65,11.77
45th percentile,49.84,17.42
50th percentile,50.6,18.66
65th percentile,53.02,22.37
75th percentile,54.88,25.0
95th percentile,61.67,33.26
Close Price,43.8,6.03
