Price Description,Forward Price,Profit Margin (%)
5th percentile,55.27,-240.37
25th percentile,79.19,-137.56
45th percentile,96.77,-94.4
50th percentile,101.24,-85.82
65th percentile,116.44,-61.56
75th percentile,129.4,-45.38
95th percentile,185.32,-1.51
Close Price,127.46,-47.59
