Price Description,Forward Price,Profit Margin (%)
5th percentile,117.17,-41.32
25th percentile,136.44,-21.36
45th percentile,148.64,-11.4
50th percentile,151.56,-9.26
65th percentile,160.98,-2.86
75th percentile,168.36,1.65
95th percentile,195.84,15.45
Close Price,158.62,-4.39
