Price Description,Forward Price,Profit Margin (%)
5th percentile,54.61,5.0
25th percentile,63.46,18.25
45th percentile,69.16,24.99
50th percentile,70.49,26.4
65th percentile,74.81,30.65
75th percentile,78.23,33.68
95th percentile,90.86,42.9
Close Price,55.85,7.11
