Price Description,Forward Price,Profit Margin (%)
5th percentile,154.21,-8.45
25th percentile,165.24,-1.21
45th percentile,171.87,2.69
50th percentile,173.41,3.56
65th percentile,178.23,6.17
75th percentile,182.0,8.11
95th percentile,195.27,14.35
Close Price,171.49,2.48
