Price Description,Forward Price,Profit Margin (%)
5th percentile,16.66,
25th percentile,20.2,
45th percentile,22.51,
50th percentile,23.08,
65th percentile,24.88,
75th percentile,26.35,
95th percentile,31.97,
Close Price,20.55,
