P/E,EPS,Debt-to-Equity,Dividend,Total Volume,Avg Volume,Symbol
17.37,7.72,517.8,4.88,3199105,1925325,KMB
9.45,5.92,0.0,4.08,8195678,7815540,MO
23.43,6.77,229.6,5.42,9018895,5400818,PEP
43.88,1.92,69.57,0.83,17324441,14399993,WMT
