Price Description,Forward Price,Profit Margin (%)
5th percentile,35.04,-15.13
25th percentile,38.8,-3.97
45th percentile,41.09,1.83
50th percentile,41.64,3.12
65th percentile,43.36,6.96
75th percentile,44.7,9.75
95th percentile,49.46,18.44
Close Price,41.31,2.35
