Price Description,Forward Price,Profit Margin (%)
5th percentile,36.07,-55.25
25th percentile,47.22,-18.59
45th percentile,55.03,-1.76
50th percentile,56.99,1.74
65th percentile,63.53,11.85
75th percentile,68.89,18.71
95th percentile,90.54,38.15
Close Price,66.83,16.21
