Price Description,Forward Price,Profit Margin (%)
5th percentile,37.01,-51.31
25th percentile,48.73,-14.92
45th percentile,56.97,1.7
50th percentile,59.03,5.13
65th percentile,65.84,14.95
75th percentile,71.43,21.6
95th percentile,93.92,40.37
Close Price,64.01,12.51
