Price Description,Forward Price,Profit Margin (%)
5th percentile,47.91,-61.82
25th percentile,62.31,-24.43
45th percentile,72.31,-7.22
50th percentile,74.84,-3.59
65th percentile,83.17,6.78
75th percentile,89.89,13.75
95th percentile,116.29,33.33
Close Price,76.35,-1.55
