Price Description,Forward Price,Profit Margin (%)
5th percentile,38.14,-24.33
25th percentile,50.78,6.62
45th percentile,59.83,20.74
50th percentile,62.14,23.69
65th percentile,69.8,32.06
75th percentile,75.99,37.6
95th percentile,101.35,53.21
Close Price,48.44,2.11
