Price Description,Forward Price,Profit Margin (%)
5th percentile,140.57,54.22
25th percentile,273.72,76.49
45th percentile,399.3,83.88
50th percentile,435.47,85.22
65th percentile,568.64,88.68
75th percentile,693.14,90.72
95th percentile,1352.93,95.24
Close Price,84.92,24.22
