Price Description,Forward Price,Profit Margin (%)
5th percentile,439.09,-52.32
25th percentile,503.69,-32.78
45th percentile,543.8,-22.99
50th percentile,553.57,-20.82
65th percentile,584.43,-14.44
75th percentile,608.3,-9.95
95th percentile,697.27,4.08
Close Price,577.3,-15.85
