Price Description,Forward Price,Profit Margin (%)
5th percentile,5.09,-488.21
25th percentile,9.64,-210.58
45th percentile,13.73,-118.06
50th percentile,14.9,-100.94
65th percentile,19.22,-55.78
75th percentile,23.23,-28.89
95th percentile,43.75,31.57
