Price Description,Forward Price,Profit Margin (%)
5th percentile,0.0,-inf
25th percentile,0.02,-54500.0
45th percentile,0.06,-18100.0
50th percentile,0.07,-15500.0
65th percentile,0.14,-7700.0
75th percentile,0.23,-4647.83
95th percentile,1.28,-753.12
Close Price,3.68,-196.74
