Price Description,Forward Price,Profit Margin (%)
5th percentile,20.11,-72.95
25th percentile,27.53,-26.33
45th percentile,32.93,-5.62
50th percentile,34.29,-1.43
65th percentile,38.87,10.52
75th percentile,42.68,18.51
95th percentile,58.27,40.31
Close Price,33.22,-4.7
