Price Description,Forward Price,Profit Margin (%)
5th percentile,129.51,-18.72
25th percentile,140.13,-9.72
45th percentile,146.6,-4.88
50th percentile,148.14,-3.79
65th percentile,152.89,-0.57
75th percentile,156.47,1.74
95th percentile,169.47,9.27
Close Price,149.34,-2.96
