Price Description,Forward Price,Profit Margin (%)
5th percentile,156.37,-21.35
25th percentile,192.46,1.4
45th percentile,216.06,12.17
50th percentile,221.69,14.4
65th percentile,240.36,21.05
75th percentile,255.52,25.74
95th percentile,313.83,39.53
Close Price,199.8,5.03
