Price Description,Forward Price,Profit Margin (%)
5th percentile,469.92,-42.33
25th percentile,573.58,-16.6
45th percentile,642.96,-4.02
50th percentile,660.02,-1.33
65th percentile,714.24,6.36
75th percentile,758.33,11.8
95th percentile,926.21,27.79
Close Price,684.2,2.25
