Price Description,Forward Price,Profit Margin (%)
5th percentile,359.14,-17.27
25th percentile,419.15,-0.48
45th percentile,457.02,7.84
50th percentile,466.14,9.65
65th percentile,495.49,15.0
75th percentile,518.55,18.78
95th percentile,605.66,30.46
Close Price,408.43,-3.12
