P/E,EPS,Debt-to-Equity,Dividend,Total Volume,Avg Volume,Symbol
8.84,2.08,0.0,1.2,4727051,2482959,ING
41.39,13.89,291.42,3.04,3091343,2572789,MA
36.55,9.9,53.81,2.36,6215642,6159664,V
