Price Description,Forward Price,Profit Margin (%)
5th percentile,19.15,11.23
25th percentile,21.2,19.81
45th percentile,22.44,24.24
50th percentile,22.74,25.24
65th percentile,23.68,28.21
75th percentile,24.42,30.38
95th percentile,27.0,37.04
Close Price,20.53,17.19
