Price Description,Forward Price,Profit Margin (%)
5th percentile,505.07,0.69
25th percentile,596.12,15.86
45th percentile,654.8,23.4
50th percentile,669.08,25.04
65th percentile,714.57,29.81
75th percentile,750.28,33.15
95th percentile,887.6,43.49
Close Price,530.19,5.4
