Price Description,Forward Price,Profit Margin (%)
5th percentile,321.24,-4.81
25th percentile,349.05,3.54
45th percentile,365.48,7.88
50th percentile,369.38,8.85
65th percentile,381.76,11.81
75th percentile,391.46,13.99
95th percentile,424.98,20.78
Close Price,349.64,3.7
