Price Description,Forward Price,Profit Margin (%)
5th percentile,2.22,-397.75
25th percentile,3.89,-184.06
45th percentile,5.31,-108.1
50th percentile,5.7,-93.86
65th percentile,7.1,-55.63
75th percentile,8.35,-32.34
95th percentile,14.51,23.85
Close Price,10.05,-9.95
