Price Description,Forward Price,Profit Margin (%)
5th percentile,6.88,-202.62
25th percentile,13.73,-51.64
45th percentile,20.4,-2.06
50th percentile,22.29,6.59
65th percentile,29.44,29.28
75th percentile,36.17,42.44
95th percentile,72.51,71.29
Close Price,22.57,7.75
