Price Description,Forward Price,Profit Margin (%)
5th percentile,242.79,-33.35
25th percentile,293.36,-10.36
45th percentile,326.97,0.98
50th percentile,334.92,3.34
65th percentile,361.05,10.33
75th percentile,382.19,15.29
95th percentile,463.21,30.11
Close Price,331.65,2.38
