Price Description,Forward Price,Profit Margin (%)
5th percentile,97.83,-61.49
25th percentile,115.22,-37.12
45th percentile,126.36,-25.03
50th percentile,129.08,-22.4
65th percentile,137.75,-14.69
75th percentile,144.73,-9.16
95th percentile,170.51,7.34
Close Price,144.58,-9.28
