Price Description,Forward Price,Profit Margin (%)
5th percentile,32.11,-47.68
25th percentile,44.64,-6.23
45th percentile,53.82,11.89
50th percentile,56.11,15.49
65th percentile,63.94,25.84
75th percentile,70.72,32.95
95th percentile,98.33,51.77
Close Price,47.92,1.04
