Price Description,Forward Price,Profit Margin (%)
5th percentile,116.64,-22.41
25th percentile,126.78,-12.62
45th percentile,132.98,-7.37
50th percentile,134.41,-6.23
65th percentile,138.97,-2.74
75th percentile,142.5,-0.2
95th percentile,155.01,7.89
Close Price,130.45,-9.45
