Price Description,Forward Price,Profit Margin (%)
5th percentile,1.02,-983.33
25th percentile,2.06,-436.41
45th percentile,3.09,-257.61
50th percentile,3.39,-225.96
65th percentile,4.49,-146.1
75th percentile,5.55,-99.1
95th percentile,11.23,1.6
Close Price,7.58,-45.78
