Price Description,Forward Price,Profit Margin (%)
5th percentile,17.96,5.35
25th percentile,19.57,13.13
45th percentile,20.54,17.23
50th percentile,20.77,18.15
65th percentile,21.49,20.89
75th percentile,22.04,22.87
95th percentile,24.01,29.2
Close Price,20.29,16.21
