Price Description,Forward Price,Profit Margin (%)
5th percentile,12.25,-117.39
25th percentile,14.35,-85.57
45th percentile,15.71,-69.51
50th percentile,16.04,-66.02
65th percentile,17.08,-55.91
75th percentile,17.92,-48.6
95th percentile,21.0,-26.81
Close Price,16.43,-62.08
