Price Description,Forward Price,Profit Margin (%)
5th percentile,12.19,-72.44
25th percentile,15.37,-36.76
45th percentile,17.48,-20.25
50th percentile,18.02,-16.65
65th percentile,19.76,-6.38
75th percentile,21.14,0.57
95th percentile,26.54,20.8
Close Price,20.17,-4.21
