Price Description,Forward Price,Profit Margin (%)
5th percentile,304.6,-38.27
25th percentile,355.47,-18.49
45th percentile,388.16,-8.51
50th percentile,396.07,-6.34
65th percentile,421.13,-0.01
75th percentile,440.95,4.48
95th percentile,513.99,18.06
Close Price,396.99,-6.09
