Price Description,Forward Price,Profit Margin (%)
5th percentile,305.82,-6.1
25th percentile,310.13,-4.63
45th percentile,312.59,-3.8
50th percentile,313.18,-3.61
65th percentile,314.93,-3.03
75th percentile,316.23,-2.61
95th percentile,320.67,-1.19
Close Price,313.13,-3.62
