Price Description,Forward Price,Profit Margin (%)
5th percentile,108.38,-4.8
25th percentile,127.36,10.82
45th percentile,139.73,18.71
50th percentile,142.64,20.37
65th percentile,152.11,25.33
75th percentile,159.65,28.86
95th percentile,187.46,39.41
Close Price,119.1,4.63
