Price Description,Forward Price,Profit Margin (%)
5th percentile,30.32,-56.4
25th percentile,38.72,-22.47
45th percentile,44.58,-6.37
50th percentile,46.06,-2.95
65th percentile,50.84,6.73
75th percentile,54.67,13.26
95th percentile,70.09,32.34
Close Price,48.44,2.11
