Price Description,Forward Price,Profit Margin (%)
5th percentile,93.96,-20.77
25th percentile,111.15,-2.1
45th percentile,122.24,7.17
50th percentile,124.94,9.17
65th percentile,133.53,15.02
75th percentile,140.46,19.21
95th percentile,166.08,31.67
Close Price,112.17,-1.17
