Price Description,Forward Price,Profit Margin (%)
5th percentile,17.95,-14.21
25th percentile,19.73,-3.9
45th percentile,20.8,1.44
50th percentile,21.05,2.61
65th percentile,21.86,6.22
75th percentile,22.48,8.81
95th percentile,24.71,17.04
Close Price,20.69,0.92
