Price Description,Forward Price,Profit Margin (%)
5th percentile,95.43,-38.23
25th percentile,118.35,-11.46
45th percentile,133.83,1.43
50th percentile,137.69,4.2
65th percentile,150.11,12.12
75th percentile,159.98,17.55
95th percentile,198.94,33.69
Close Price,130.89,-0.78
