Price Description,Forward Price,Profit Margin (%)
5th percentile,95.07,32.31
25th percentile,173.61,62.93
45th percentile,245.99,73.84
50th percentile,265.95,75.8
65th percentile,338.63,81.0
75th percentile,405.37,84.13
95th percentile,745.24,91.37
Close Price,83.42,22.86
