Price Description,Forward Price,Profit Margin (%)
5th percentile,9.56,-41.11
25th percentile,12.48,-8.09
45th percentile,14.49,6.9
50th percentile,15.0,10.07
65th percentile,16.67,19.08
75th percentile,18.05,25.26
95th percentile,23.49,42.57
